com.miui.gallery,图库
com.letao.activity,乐淘
com.asiainfo.android,沃邮箱
com.chaozh.iReaderFree,掌阅iReader
com.pplive.androidphone,PPTV网络电视
com.speedsoftware.rootexplorer,RE管理器
com.android.systemui,截图通知
com.sina.weibo,微博
com.sankuai.meituan,美团外卖
com.google.android.gm,谷歌Gmail
com.diandian.android,点点轻博客
com.kingwaytek.OpeningActivity,导航王
icon_folder,文件夹背景
com.tumblr,Tumblr
com.google.android.youtube,Youtube
com.android.deskclock,时钟
icon_shortcut,快捷方式背景
com.pinterest,Pinterest
com.tencent.qqmusic,QQ音乐
com.android.chrome,Chrome浏览器
com.android.settings.MiuiPasswordGuardActivity,密码保护
com.sony.playmemories.mobile,PlayMemories Mobile
com.skype.rover,Skype
cn.wps.livespace,快盘
com.taobao.taobao,手机淘宝
com.immomo.momo,陌陌
